Cancer_Type,Lineage,Cell_Lines,Combination_Size,Target_Position,Target_Gene,Clinical_Stage,Available_Drugs,Known_Toxicities,Full_Combination,Path_Coverage,Cost_Score
Ocular Melanoma,Eye,15,3,2,CCND1,unknown,,,ANKUB1 + CCND1 + E2F3,83.3%,2.29
Ocular Melanoma,Eye,15,3,3,E2F3,unknown,,,ANKUB1 + CCND1 + E2F3,83.3%,2.29
Cervical Squamous Cell Carcinoma,Cervix,15,3,1,ZER1,unknown,,,E2F3 + STAT3 + ZER1,84.6%,3.64
Cervical Squamous Cell Carcinoma,Cervix,15,3,2,E2F3,unknown,,,E2F3 + STAT3 + ZER1,84.6%,3.64
Cervical Squamous Cell Carcinoma,Cervix,15,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,E2F3 + STAT3 + ZER1,84.6%,3.64
Liposarcoma,Soft Tissue,13,3,1,CCND1,unknown,,,CCND1 + FGFR1 + GRB2,85.4%,2.20
Liposarcoma,Soft Tissue,13,3,2,FGFR1,approved,erdafitinib; pemigatinib,,CCND1 + FGFR1 + GRB2,85.4%,2.20
Liposarcoma,Soft Tissue,13,3,3,GRB2,unknown,,,CCND1 + FGFR1 + GRB2,85.4%,2.20
Anaplastic Thyroid Cancer,Thyroid,13,3,1,SEPHS2,unknown,,,SEPHS2 + STAT3 + YAP1,82.0%,2.58
Anaplastic Thyroid Cancer,Thyroid,13,3,2,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,SEPHS2 + STAT3 + YAP1,82.0%,2.58
Anaplastic Thyroid Cancer,Thyroid,13,3,3,YAP1,unknown,,,SEPHS2 + STAT3 + YAP1,82.0%,2.58
Non-Seminomatous Germ Cell Tumor,Testis,12,3,1,CCND1,unknown,,,CCND1 + FYN + PARP1,84.1%,4.18
Non-Seminomatous Germ Cell Tumor,Testis,12,3,2,FYN,approved,dasatinib; saracatinib,myelosuppression,CCND1 + FYN + PARP1,84.1%,4.18
Non-Seminomatous Germ Cell Tumor,Testis,12,3,3,PARP1,approved,olaparib; rucaparib; niraparib; talazoparib,anemia; nausea,CCND1 + FYN + PARP1,84.1%,4.18
Leiomyosarcoma,Soft Tissue,11,3,1,EGFR,approved,erlotinib; gefitinib; osimertinib; afatinib; cetuximab,rash; diarrhea; ILD,EGFR + KRAS + PTK2,81.6%,2.74
Leiomyosarcoma,Soft Tissue,11,3,2,KRAS,approved,sotorasib; adagrasib,diarrhea; hepatotoxicity,EGFR + KRAS + PTK2,81.6%,2.74
Leiomyosarcoma,Soft Tissue,11,3,3,PTK2,unknown,,,EGFR + KRAS + PTK2,81.6%,2.74
Synovial Sarcoma,Soft Tissue,10,3,1,SPECC1L,unknown,,,SPECC1L + STAT3 + YAP1,89.7%,2.77
Synovial Sarcoma,Soft Tissue,10,3,2,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,SPECC1L + STAT3 + YAP1,89.7%,2.77
Synovial Sarcoma,Soft Tissue,10,3,3,YAP1,unknown,,,SPECC1L + STAT3 + YAP1,89.7%,2.77
Chondrosarcoma,Bone,9,3,1,BCAR1,unknown,,,BCAR1 + CCNE2 + MET,83.3%,2.17
Chondrosarcoma,Bone,9,3,2,CCNE2,unknown,,,BCAR1 + CCNE2 + MET,83.3%,2.17
Chondrosarcoma,Bone,9,3,3,MET,approved,capmatinib; tepotinib; crizotinib; cabozantinib,edema; nausea,BCAR1 + CCNE2 + MET,83.3%,2.17
Nerve Sheath Tumor,Peripheral Nervous System,9,3,1,CCND1,unknown,,,CCND1 + FGFR1 + GRB2,93.0%,2.80
Nerve Sheath Tumor,Peripheral Nervous System,9,3,2,FGFR1,approved,erdafitinib; pemigatinib,,CCND1 + FGFR1 + GRB2,93.0%,2.80
Nerve Sheath Tumor,Peripheral Nervous System,9,3,3,GRB2,unknown,,,CCND1 + FGFR1 + GRB2,93.0%,2.80
Hodgkin Lymphoma,Lymphoid,9,3,1,CCND1,unknown,,,CCND1 + CFL1 + JAK1,82.8%,2.30
Hodgkin Lymphoma,Lymphoid,9,3,2,CFL1,unknown,,,CCND1 + CFL1 + JAK1,82.8%,2.30
